Transaction ID,Customer ID,Purchase Date,Age,Gender,Location,Online/Offline,Online Store,Category,Item Purchased,Brand,Color,Size,Quantity,Purchase Amount (₹),Discount (%),Festival/Sale,Shipping Charge (₹),Delivery Speed,Delivery Time (Days),Subscription Status,Payment Method,Review Rating,Return Status,Previous Purchases,Frequency of Purchases,Year,Month Number,Month,Year-Month,Quarter,Day of Week,Age Group,Returned,Subscribed,Online Purchase,Sale Purchase,Average Amount per Item (₹),Has Discount,Has Shipping Charge
TXN500000,CUST001440,2023-07-22,52,Other,Indore,Offline,In-Store Purchase,Clothing,Jeans,Levis,Black,L,1,2215,6,Standard Day,0,N/A (Offline),0,No,Credit Card,5,Not Returned,2,Quarterly,2023,7,July,2023-07,Q3,Saturday,45-54,False,False,False,False,2215.0,True,False
TXN500001,CUST002326,2023-01-16,19,Female,Bhubaneswar,Online,Ajio,Clothing,Jacket,Zara,Blue,XS,1,6742,6,Standard Day,0,Express,1,No,Debit Card,4,Returned,3,Quarterly,2023,1,January,2023-01,Q1,Monday,18-24,True,False,True,False,6742.0,True,False
TXN500002,CUST002680,2023-01-24,40,Male,Bangalore,Online,Myntra,Clothing,Saree,Biba,Red,S,1,4672,0,Standard Day,0,Standard,7,Yes,Cash on Delivery,4,Not Returned,13,Monthly,2023,1,January,2023-01,Q1,Tuesday,35-44,False,True,True,False,4672.0,False,False
TXN500003,CUST001098,2024-09-06,46,Female,Ahmedabad,Offline,In-Store Purchase,Clothing,Jeans,Levis,White,M,1,1539,5,Standard Day,0,N/A (Offline),0,No,UPI,3,Not Returned,1,Rarely,2024,9,September,2024-09,Q3,Friday,45-54,False,False,False,False,1539.0,True,False
TXN500004,CUST003158,2023-10-18,62,Female,Pune,Online,Flipkart,Accessories,Belt,Levis,Red,M,1,2133,3,Standard Day,0,Standard,6,Yes,UPI,3,Not Returned,3,Quarterly,2023,10,October,2023-10,Q4,Wednesday,55-64,False,True,True,False,2133.0,True,False
TXN500005,CUST002322,2023-06-09,40,Female,Lucknow,Online,Flipkart,Footwear,Sandals,Hush Puppies,White,9,1,4433,0,Standard Day,40,Standard,6,No,UPI,2,Not Returned,35,Weekly,2023,6,June,2023-06,Q2,Friday,35-44,False,False,True,False,4433.0,False,True
TXN500006,CUST002841,2023-05-06,24,Male,Ahmedabad,Offline,In-Store Purchase,Footwear,Sandals,Max,Grey,9,1,1253,3,Standard Day,0,N/A (Offline),0,No,UPI,3,Not Returned,31,Weekly,2023,5,May,2023-05,Q2,Saturday,18-24,False,False,False,False,1253.0,True,False
TXN500007,CUST001597,2024-08-22,21,Female,Hyderabad,Online,Ajio,Clothing,Shorts,Adidas,Olive,XL,2,3396,15,Standard Day,99,Standard,5,No,Credit Card,3,Not Returned,6,Quarterly,2024,8,August,2024-08,Q3,Thursday,18-24,False,False,True,False,1698.0,True,True
TXN500008,CUST003185,2024-10-12,37,Female,Nagpur,Offline,In-Store Purchase,Footwear,Sandals,Hush Puppies,Grey,10,1,2311,11,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,4,Not Returned,13,Fortnightly,2024,10,October,2024-10,Q4,Saturday,35-44,False,False,False,True,2311.0,True,False
TXN500009,CUST002106,2024-05-08,23,Female,Patna,Online,Amazon,Accessories,Sunglasses,Fastrack,Beige,Free Size,1,2112,9,Standard Day,0,Standard,3,Yes,UPI,3,Not Returned,18,Fortnightly,2024,5,May,2024-05,Q2,Wednesday,18-24,False,True,True,False,2112.0,True,False
