Month_Start,Transaction_Count,Total_Purchase_Amount,Average_Purchase_Amount,Total_Quantity,Average_Quantity,Year-Month,Sale Transaction Share (%)
2023-01-01,428,2496771,5833.577102803738,606,1.4158878504672898,2023-01,34.345794392523366
2023-02-01,383,2248695,5871.266318537859,531,1.3864229765013054,2023-02,0.0
2023-03-01,418,2837727,6788.82057416268,579,1.3851674641148326,2023-03,0.0
2023-04-01,414,2543377,6143.422705314009,590,1.4251207729468598,2023-04,0.0
2023-05-01,474,2881711,6079.559071729957,665,1.4029535864978904,2023-05,0.0
2023-06-01,403,2534516,6289.12158808933,587,1.456575682382134,2023-06,0.24813895781637718
2023-07-01,403,2384154,5916.014888337469,571,1.4168734491315136,2023-07,0.0
2023-08-01,435,3111320,7152.459770114942,633,1.4551724137931035,2023-08,34.48275862068966
2023-09-01,399,2518110,6311.0526315789475,567,1.4210526315789473,2023-09,0.5012531328320802
2023-10-01,422,2665332,6315.952606635071,583,1.3815165876777251,2023-10,36.492890995260666
2023-11-01,407,2343304,5757.503685503685,568,1.3955773955773956,2023-11,36.60933660933661
2023-12-01,440,2957976,6722.672727272728,658,1.4954545454545454,2023-12,1.3636363636363635
2024-01-01,405,2791454,6892.479012345679,589,1.454320987654321,2024-01,29.629629629629626
2024-02-01,367,2388024,6506.877384196186,534,1.4550408719346049,2024-02,0.0
2024-03-01,432,2676800,6196.2962962962965,598,1.3842592592592593,2024-03,0.0
2024-04-01,399,2672947,6699.1152882205515,578,1.4486215538847118,2024-04,0.0
2024-05-01,450,2872998,6384.44,658,1.4622222222222223,2024-05,0.0
2024-06-01,414,3082345,7445.277777777777,604,1.458937198067633,2024-06,1.2077294685990339
2024-07-01,443,2900403,6547.185101580136,607,1.3702031602708804,2024-07,0.0
2024-08-01,401,2366289,5900.970074812967,571,1.4239401496259352,2024-08,31.92019950124688
2024-09-01,412,3189510,7741.5291262135925,595,1.4441747572815533,2024-09,3.3980582524271843
2024-10-01,424,2718720,6412.075471698113,616,1.4528301886792452,2024-10,33.9622641509434
2024-11-01,410,2812852,6860.614634146342,590,1.4390243902439024,2024-11,34.390243902439025
2024-12-01,417,2681610,6430.719424460432,581,1.3932853717026379,2024-12,0.9592326139088728
