Brand,Transaction_Count,Transaction Share (%),Unique_Customers,Total_Quantity,Quantity Share (%),Total_Purchase_Amount,Purchase Amount Share (%),Average_Transaction_Value,Average_Quantity_Per_Transaction,Purchase Amount per Unit,Average_Rating,Returned_Transactions,Return Rate (%)
Adidas,829,8.290000000000001,739,1164,8.16326530612245,10612884,16.409068177230697,12802.031363088057,1.4041013268998794,9117.59793814433,3.7876960193003617,144,17.370325693606755
Allen Solly,301,3.01,287,441,3.0927835051546393,1199239,1.8541985865287856,3984.182724252492,1.4651162790697674,2719.362811791383,3.7906976744186047,56,18.6046511627907
Bata,449,4.49,420,655,4.593590013324918,1215053,1.8786493394207162,2706.13140311804,1.4587973273942094,1855.042748091603,2.848552338530067,111,24.721603563474385
Biba,557,5.57,505,772,5.414124412651659,3065499,4.739709026145252,5503.588868940754,1.385996409335727,3970.853626943005,3.822262118491921,93,16.696588868940754
FabIndia,600,6.0,546,849,5.9541342310119925,4116405,6.364563137606454,6860.675,1.415,4848.533568904593,3.815,85,14.166666666666666
Fastrack,310,3.1,306,452,3.1699277649204016,634594,0.9811749766473973,2047.0774193548386,1.4580645161290322,1403.9690265486727,2.867741935483871,41,13.225806451612904
H&M,294,2.94,282,424,2.973560558243916,1115910,1.7253597862422225,3795.612244897959,1.4421768707482994,2631.8632075471696,3.8741496598639458,49,16.666666666666664
HRX,835,8.35,726,1181,8.282488253033172,4965254,7.677007626133238,5946.411976047904,1.41437125748503,4204.279424216766,2.821556886227545,203,24.311377245508982
Hush Puppies,451,4.51,415,650,4.558524440704117,2855129,4.414446291487639,6330.662971175167,1.441241685144124,4392.506153846154,3.882483370288248,66,14.634146341463413
Levis,578,5.779999999999999,521,807,5.659583420997265,2086548,3.226107850332139,3609.944636678201,1.3961937716262975,2585.561338289963,3.7975778546712804,54,9.342560553633218
Max,1223,12.23,1033,1754,12.301002875376955,3210817,4.964391871013698,2625.3614063777595,1.4341782502044154,1830.5684150513114,2.8266557645134913,325,26.573998364677028
Nike,828,8.28,734,1200,8.415737428992214,11837969,18.303228453353817,14297.064009661835,1.4492753623188406,9864.974166666667,3.8055555555555554,130,15.70048309178744
Puma,1177,11.77,991,1675,11.7469668279683,10672282,16.500906157518727,9067.359388275276,1.4231096006796942,6371.511641791045,3.8317757009345796,159,13.5089209855565
Roadster,259,2.59,253,358,2.510694999649344,535145,0.8274123027919763,2066.196911196911,1.3822393822393821,1494.81843575419,2.671814671814672,60,23.166023166023166
Tommy Hilfiger,338,3.38,324,498,3.492531033031769,1847652,2.8567397547920668,5466.426035502958,1.4733727810650887,3710.144578313253,3.8224852071005917,18,5.325443786982249
Wildcraft,295,2.9499999999999997,278,416,2.917455642050635,737332,1.140022924706787,2499.430508474576,1.4101694915254237,1772.4326923076924,2.830508474576271,51,17.28813559322034
Zara,676,6.76,608,963,6.753629286766253,3969233,6.137013738048388,5871.646449704142,1.4245562130177514,4121.73727933541,3.7736686390532546,106,15.680473372781064
