Item Purchased,Transaction_Count,Transaction Share (%),Unique_Customers,Total_Quantity,Quantity Share (%),Total_Purchase_Amount,Purchase Amount Share (%),Average_Transaction_Value,Average_Quantity_Per_Transaction,Purchase Amount per Unit,Average_Rating,Returned_Transactions,Return Rate (%)
Backpack,264,2.64,248,369,2.587839259415106,1174824,1.8164494318647857,4450.090909090909,1.3977272727272727,3183.8048780487807,3.484848484848485,26,9.848484848484848
Bag,244,2.44,233,350,2.454590083456063,1335027,2.0641466599883467,5471.422131147541,1.4344262295081966,3814.362857142857,3.3688524590163933,25,10.245901639344263
Belt,221,2.21,214,304,2.1319868153446944,413980,0.6400735223347361,1873.212669683258,1.3755656108597285,1361.7763157894738,3.475113122171946,21,9.502262443438914
Boots,329,3.29,314,464,3.2540851392103236,2681133,4.145423071544273,8149.340425531915,1.4103343465045592,5778.303879310345,3.39209726443769,69,20.972644376899694
Cap,202,2.02,198,281,1.9706851812890103,278967,0.43132371202752384,1381.0247524752476,1.391089108910891,992.7651245551601,3.633663366336634,12,5.9405940594059405
Dress,225,2.25,218,329,2.3073146784486993,1011085,1.5632850314745077,4493.711111111111,1.4622222222222223,3073.206686930091,3.5244444444444443,42,18.666666666666668
Formal Shoes,319,3.19,303,493,3.457465460410968,2348392,3.630956904349765,7361.730407523511,1.5454545454545454,4763.47261663286,3.373040752351097,53,16.614420062695924
Heels,352,3.52,338,502,3.52058349112841,1487007,2.2991299295289847,4224.451704545455,1.4261363636363635,2962.165338645418,3.3125,67,19.03409090909091
Hoodie,417,4.17,398,594,4.165790027351147,2168269,3.3524604478458278,5199.6858513189445,1.4244604316546763,3650.284511784512,3.5443645083932855,75,17.985611510791365
Jacket,676,6.76,630,966,6.774668630338733,4634764,7.166021833591553,6856.15976331361,1.4289940828402368,4797.892339544514,3.5976331360946747,130,19.230769230769234
Jeans,250,2.5,249,368,2.580826144890946,993082,1.5354497649819423,3972.328,1.472,2698.592391304348,3.456,48,19.2
Kurta,870,8.7,775,1250,8.766393155200225,2565357,3.9664164718973662,2948.6862068965515,1.4367816091954022,2052.2856,3.5057471264367814,164,18.850574712643677
Running Shoes,861,8.61,764,1213,8.506907917806297,14080001,21.769737268821217,16353.078977932637,1.4088269454123112,11607.585325638911,3.581881533101045,157,18.234610917537747
Sandals,371,3.71,346,515,3.6117539799424927,987552,1.5268995775851812,2661.8652291105122,1.3881401617250675,1917.5766990291263,3.266846361185984,89,23.98921832884097
Saree,846,8.459999999999999,734,1164,8.16326530612245,6331319,9.78914356576366,7483.828605200945,1.375886524822695,5439.277491408935,3.5118203309692673,157,18.55791962174941
Shirt,232,2.32,223,346,2.426537625359422,699994,1.0822929252456188,3017.2155172413795,1.4913793103448276,2023.1040462427745,3.4698275862068964,45,19.396551724137932
Shorts,604,6.04,556,827,5.799845711480469,1340030,2.0718820284415105,2218.592715231788,1.369205298013245,1620.3506650544136,3.44205298013245,112,18.543046357615893
Slippers,346,3.46,331,495,3.471491689459289,295270,0.4565305303149368,853.3815028901735,1.430635838150289,596.5050505050505,3.3699421965317917,73,21.09826589595376
Sneakers,817,8.17,728,1179,8.268462023984851,15583108,24.093760148998996,19073.57160342717,1.4430844553243574,13217.224766751484,3.550795593635251,140,17.135862913096695
Socks,240,2.4,231,348,2.4405638544077424,142192,0.21984959246297117,592.4666666666667,1.45,408.5977011494253,3.370833333333333,34,14.166666666666666
Sunglasses,232,2.32,227,350,2.454590083456063,1534805,2.373032616181856,6615.538793103448,1.5086206896551724,4385.157142857143,3.4870689655172415,26,11.206896551724139
T-shirt,645,6.45,593,920,6.452065362227365,1281872,1.9819612691972386,1987.398449612403,1.426356589147287,1393.3391304347826,3.4976744186046513,127,19.689922480620154
Trousers,239,2.39,233,340,2.384458938214461,783649,1.2116357691291695,3278.8661087866108,1.4225941422594142,2304.85,3.3933054393305437,41,17.154811715481173
Wallet,198,1.9800000000000002,192,292,2.0478294410547724,525266,0.8121379264280341,2652.8585858585857,1.4747474747474747,1798.8561643835617,3.404040404040404,18,9.090909090909092
