Online/Offline,Item Purchased,Transaction_Count,Total_Quantity,Total_Purchase_Amount,Average_Transaction_Value,Returned_Transactions,Return Rate (%)
Offline,Backpack,65,94,310134,4771.292307692308,3,4.615384615384616
Offline,Bag,56,78,276428,4936.214285714285,3,5.357142857142857
Offline,Belt,46,67,93931,2041.9782608695652,4,8.695652173913043
Offline,Boots,81,112,634208,7829.728395061728,12,14.814814814814813
Offline,Cap,53,75,77328,1459.0188679245282,3,5.660377358490567
Offline,Dress,62,78,241765,3899.435483870968,14,22.58064516129032
Offline,Formal Shoes,98,156,731261,7461.84693877551,15,15.306122448979592
Offline,Heels,90,122,351867,3909.633333333333,14,15.555555555555555
Offline,Hoodie,93,125,448375,4821.236559139785,9,9.67741935483871
Offline,Jacket,182,274,1250283,6869.686813186813,32,17.582417582417584
Offline,Jeans,70,104,267246,3817.8,7,10.0
Offline,Kurta,211,303,621907,2947.4265402843603,35,16.587677725118482
Offline,Running Shoes,254,363,3984715,15687.854330708662,45,17.716535433070867
Offline,Sandals,99,125,233923,2362.8585858585857,18,18.181818181818183
Offline,Saree,213,304,1656165,7775.422535211268,43,20.187793427230048
Offline,Shirt,49,74,158364,3231.918367346939,7,14.285714285714285
Offline,Shorts,157,226,351574,2239.3248407643314,32,20.382165605095544
Offline,Slippers,81,119,75288,929.4814814814815,16,19.753086419753085
Offline,Sneakers,211,303,3996661,18941.52132701422,43,20.379146919431278
Offline,Socks,57,83,34812,610.7368421052631,8,14.035087719298245
Offline,Sunglasses,62,91,364047,5871.725806451613,9,14.516129032258066
Offline,T-shirt,186,257,363071,1951.994623655914,37,19.892473118279568
Offline,Trousers,53,72,178456,3367.0943396226417,9,16.9811320754717
Offline,Wallet,54,80,157563,2917.8333333333335,3,5.555555555555555
Online,Backpack,199,275,864690,4345.175879396985,23,11.557788944723619
Online,Bag,188,272,1058599,5630.845744680851,22,11.702127659574469
Online,Belt,175,237,320049,1828.8514285714286,17,9.714285714285714
Online,Boots,248,352,2046925,8253.729838709678,57,22.983870967741936
Online,Cap,149,206,201639,1353.2818791946308,9,6.0402684563758395
Online,Dress,163,251,769320,4719.754601226994,28,17.177914110429448
Online,Formal Shoes,221,337,1617131,7317.334841628959,38,17.194570135746606
Online,Heels,262,380,1135140,4332.595419847328,53,20.229007633587788
Online,Hoodie,324,469,1719894,5308.314814814815,66,20.37037037037037
Online,Jacket,494,692,3384481,6851.176113360324,98,19.838056680161944
Online,Jeans,180,264,725836,4032.4222222222224,41,22.77777777777778
Online,Kurta,659,947,1943450,2949.0895295902883,129,19.575113808801213
Online,Running Shoes,607,850,10095286,16631.4431630972,112,18.451400329489292
Online,Sandals,272,390,753629,2770.6948529411766,71,26.10294117647059
Online,Saree,633,860,4675154,7385.709320695103,114,18.009478672985782
Online,Shirt,183,272,541630,2959.726775956284,38,20.76502732240437
Online,Shorts,447,601,988456,2211.31096196868,80,17.89709172259508
Online,Slippers,265,376,219982,830.1207547169811,57,21.50943396226415
Online,Sneakers,606,876,11586447,19119.549504950493,97,16.006600660066006
Online,Socks,183,265,107380,586.775956284153,26,14.207650273224044
Online,Sunglasses,170,259,1170758,6886.8117647058825,17,10.0
Online,T-shirt,459,663,918801,2001.7450980392157,90,19.607843137254903
Online,Trousers,186,268,605193,3253.7258064516127,32,17.20430107526882
Online,Wallet,144,212,367703,2553.4930555555557,15,10.416666666666668
