Category,Discount Band,Transaction_Count,Average_Purchase_Amount,Average_Quantity,Returned_Transactions,Return Rate (%)
Accessories,0%,91,3376.4945054945056,1.3626373626373627,7,7.6923076923076925
Accessories,1-5%,509,3325.147347740668,1.4066797642436148,50,9.823182711198427
Accessories,6-10%,476,3402.2605042016808,1.4579831932773109,46,9.663865546218489
Accessories,11-15%,397,3404.9672544080604,1.4659949622166246,45,11.335012594458437
Accessories,16-30%,97,3603.701030927835,1.443298969072165,10,10.309278350515463
Accessories,Above 30%,31,2725.5806451612902,1.2258064516129032,4,12.903225806451612
Clothing,0%,321,4654.1682242990655,1.4641744548286604,59,18.38006230529595
Clothing,1-5%,1560,4311.772435897436,1.410897435897436,324,20.76923076923077
Clothing,6-10%,1475,4389.825084745763,1.4284745762711863,273,18.508474576271187
Clothing,11-15%,1223,4249.3826655764515,1.4039247751430908,215,17.57972199509403
Clothing,16-30%,358,4563.351955307263,1.4245810055865922,66,18.435754189944134
Clothing,Above 30%,67,4229.865671641791,1.4776119402985075,4,5.970149253731343
Footwear,0%,221,9095.990950226244,1.3665158371040724,30,13.574660633484163
Footwear,1-5%,993,11175.21752265861,1.4259818731117824,199,20.040281973816718
Footwear,6-10%,1047,11208.103151862464,1.4613180515759312,210,20.057306590257877
Footwear,11-15%,817,10964.59241126071,1.4369645042839658,154,18.849449204406366
Footwear,16-30%,265,10945.701886792453,1.369811320754717,47,17.735849056603772
Footwear,Above 30%,52,14647.903846153846,1.4615384615384615,8,15.384615384615385
